Users,data,tweet
@Fxhedgers,2020-04-07 16:50:26+00:00,SENIOR U.S. ADMINISTRATION OFFICIAL SAYS U.S. WOULD APPRECIATE OPPORTUNITY TO WORK DIRECTLY WITH CHINA'S VIROLOGY LABS IN WUHAN ON CORONAVIRUS RESEARCH
@Fxhedgers,2020-04-07 16:48:04+00:00,Treasury Seeks $200 Billion More for Small Business Aid Program 
@Fxhedgers,2020-04-07 16:39:15+00:00,"RT @globaltimesnews: #Wuhan buckled up for restart: With the first car leaving the Wuhan West toll station at 12:00 am, Wuhan, after 76-day…"
@Fxhedgers,2020-04-07 16:25:59+00:00,"MLB considering starting season next month in Arizona, all teams will play in empty stadiums - FBN"
@Fxhedgers,2020-04-07 16:23:00+00:00,RT @fxmacro: GATES IS NOW FUNDING THE NYU STUDY ON THE “EFFICACY” OF HYDROXYCLOROQUINE AT THE SAME TIME HE LAUNCHES HIS VACCINE... it must…
@Fxhedgers,2020-04-07 16:20:11+00:00,"LOCKDOWN LIFTED IN WUHAN CHINA, CROWDS RUSH TO TRAINS TO LEAVE CITY - NYT"
@Fxhedgers,2020-04-07 16:16:54+00:00,Fox Business to host town hall with Trump economic adviser Kudlow on coronavirus economic impact - HILL 🤣
@Fxhedgers,2020-04-07 16:12:45+00:00,TRUMP REMOVES INSPECTOR GENERAL WHO WAS NAMED TO OVERSEE IMPLEMENTATION OF $2.3 TRILLION CORONAVIRUS ECONOMIC RELIEF EFFORT -POLITICO
@Fxhedgers,2020-04-07 16:04:59+00:00,UK FOREIGN MINISTER SAYS I AM CONFIDENT HE WILL PULL THROUGH
@Fxhedgers,2020-04-07 16:04:35+00:00,"UK FOREIGN MINISTER SAYS REMAINS IN GOOD SPIRITS, HIS PROGRESS IS BEING MONITORED IN CRITICAL CARE"
@Fxhedgers,2020-04-07 16:04:05+00:00,"[RTRS] 07 APR - UK FOREIGN MINISTER SAYS PM REMAINS STABLE OVERNIGHT, RECEIVING STANDARD OXYGEN TREATMENT"
@Fxhedgers,2020-04-07 15:46:52+00:00,TRUDEAU: WE ARE HAPPY THAT BANKS TOOK FIRST STEP WITH CREDIT CARD RATES - BLOOMBERG
@Fxhedgers,2020-04-07 15:19:53+00:00,TRUMP CAMPAIGN SPOKESWOMAN KAYLEIGH MCENANY TO BECOME NEW WHITE HOUSE PRESS SECRETARY -NYT
@Fxhedgers,2020-04-07 15:19:17+00:00,NEW YORK GOVERNOR CUOMO SAYS TO WORK WITH NEW JERSEY AND CONNECTICUT GOVERNORS IN PLANNING TO RESTART LIFE
@Fxhedgers,2020-04-07 15:11:51+00:00,NEW YORK GOVERNOR SAYS 731 DEATHS IS LARGEST SINGLE-DAY INCREASE SO FAR IN CORONAVIRUS PANDEMIC
@Fxhedgers,2020-04-07 15:11:35+00:00,NEW YORK GOVERNOR SAYS BELIEVES STATE IS REACHING A PLATEAU IN THE TOTAL NUMBER OF HOSPITALIZATIONS
